tsne1,tsne2,customer_id,cluster
-7.7765985,-1.4883199,0,3
38.867577,-57.885506,1,4
-13.806433,-3.7299936,2,3
-31.383682,29.007084,3,3
-56.363503,-84.99384,4,1
-2.2014492,94.92447,5,2
-16.003157,-86.00298,6,4
-0.71123827,-18.606464,7,4
9.637471,77.20056,8,2
8.025796,-52.803787,9,4
-59.07218,-20.563408,10,1
-53.115677,-24.902325,11,1
22.939377,81.97791,12,2
-4.069209,20.05321,13,3
29.126913,2.2615147,14,0
15.88168,-50.765903,15,4
-61.915295,-25.569939,16,1
-37.08115,10.552777,17,3
3.1064956,44.37129,18,2
-32.056145,52.605946,19,3
-15.225563,-44.16253,20,4
-23.356516,80.25592,21,2
-54.074677,-23.436665,22,1
-38.735687,41.737446,23,3
-46.208523,-33.513683,24,1
14.121112,37.176743,25,2
-52.895557,-76.43738,26,1
-1.0228603,-47.242565,27,4
-29.892944,-8.058022,28,1
-23.950924,86.334915,29,2
26.416075,44.142063,30,2
46.048847,-21.532385,31,4
48.550636,-58.209576,32,4
30.080235,-31.337282,33,4
14.719478,10.798663,34,0
46.53343,-12.494583,35,0
88.099396,32.51576,36,0
-25.35135,20.887062,37,3
35.486576,30.276196,38,0
-55.833775,-77.076035,39,1
-12.877258,83.14095,40,2
-60.797764,0.49462494,41,1
35.492733,-72.286064,42,4
26.516497,65.35052,43,2
-71.07626,-42.15148,44,1
3.6934102,-46.695736,45,4
18.100037,-27.719414,46,4
3.4836123,91.816734,47,2
-19.699484,80.8185,48,2
-3.1763859,-28.59177,49,4
45.810112,-21.004635,50,4
69.76076,58.123653,51,0
-0.863647,-89.16493,52,4
-68.95656,27.433716,53,3
-61.676712,62.805588,54,3
-21.155552,0.67665106,55,3
-57.63098,-14.171091,56,1
8.857434,17.456512,57,3
90.28472,-3.6576216,58,0
-19.985306,-31.865484,59,1
24.70019,-29.914711,60,4
-26.34322,84.76727,61,2
-42.882423,-84.83648,62,1
-3.5589454,-56.973698,63,4
-13.321231,3.4463837,64,3
-20.437943,28.894205,65,3
-33.522007,85.33105,66,2
29.871405,1.725018,67,0
-40.147583,-38.769455,68,1
97.011024,-6.633699,69,0
19.76069,-24.456802,70,4
20.596691,-20.95949,71,4
-16.567781,-14.806732,72,1
34.10807,-39.67218,73,4
-46.01746,62.3757,74,3
-35.445503,-66.768234,75,1
-56.427715,-82.664375,76,1
-4.544651,-86.31646,77,4
56.34839,-38.111088,78,0
15.673278,-52.00105,79,4
15.204762,15.506396,80,0
93.077324,6.898094,81,0
5.8224006,88.63466,82,2
22.008612,74.819725,83,2
-40.26281,9.649404,84,3
-16.677895,-44.38201,85,4
74.71114,49.92264,86,0
19.109129,4.131861,87,0
7.5419946,-24.424934,88,4
-9.18057,25.694221,89,3
54.984592,37.40299,90,0
-45.361233,-82.68274,91,1
-6.8958626,37.593513,92,3
57.333923,5.673907,93,0
16.149849,87.79787,94,2
-35.220264,17.729183,95,3
82.41741,-28.423584,96,0
-32.392494,12.286976,97,3
32.15261,71.379036,98,2
54.8604,66.299446,99,2
-33.00918,32.70646,100,3
-8.257042,70.914894,101,2
44.505013,-35.13195,102,4
-17.392841,-25.740047,103,1
61.04426,-55.85218,104,4
-65.6825,34.47974,105,3
-20.793245,34.356808,106,3
13.006118,13.627725,107,0
21.881317,76.41885,108,2
-5.8423696,-10.309492,109,4
-70.50578,59.055653,110,3
-70.43039,33.563526,111,3
52.2098,-6.64743,112,0
6.193017,12.578042,113,3
29.29918,66.46739,114,2
-47.262394,-31.103096,115,1
16.25092,35.872974,116,2
-54.530334,-73.166695,117,1
-70.47488,0.8984667,118,1
58.615685,4.237514,119,0
-68.387474,52.99407,120,3
-7.383032,-85.7322,121,4
-32.544792,25.915216,122,3
29.253967,67.26181,123,2
-41.53736,-70.08436,124,1
21.48644,69.764854,125,2
69.93107,-21.398739,126,0
-67.94299,-29.174946,127,1
-76.828926,-15.673766,128,1
-52.699238,-39.347073,129,1
2.2952247,-92.17654,130,4
40.947056,-13.163127,131,0
83.17948,39.666523,132,0
16.502184,87.81298,133,2
-29.926693,-26.769312,134,1
-51.95324,-7.10385,135,1
24.27433,81.230316,136,2
27.517849,-49.2307,137,4
37.99373,-14.390404,138,0
17.560942,-27.999323,139,4
-34.22766,-69.71172,140,1
40.29659,58.595573,141,2
97.22555,-1.5433131,142,0
86.5846,34.369415,143,0
-70.55342,-46.693573,144,1
-32.2885,-24.241402,145,1
-3.396252,-92.33345,146,4
-36.38986,18.484615,147,3
-27.502048,-40.87691,148,1
-43.867855,47.297302,149,3
-22.603937,23.266161,150,3
24.215094,-50.85777,151,4
38.263397,0.25222263,152,0
-2.5270875,47.025116,153,2
-52.03058,47.356293,154,3
-40.384785,59.600975,155,3
-2.0841534,47.557953,156,2
55.256447,67.51292,157,2
-15.583281,48.55401,158,3
-56.549747,-41.5675,159,1
-32.794647,-64.88364,160,1
-11.934033,25.521637,161,3
-46.10179,-86.39634,162,1
-40.905144,53.02964,163,3
63.468983,56.29318,164,0
44.790627,-69.8686,165,4
78.40925,45.162014,166,0
43.70384,-26.770273,167,4
72.63917,-35.433456,168,0
10.317447,0.26265943,169,0
56.322617,5.771384,170,0
-1.8324206,-20.881804,171,4
69.49025,58.234577,172,0
-23.283499,-39.487972,173,1
57.562397,59.474064,174,2
18.609367,74.13548,175,2
-41.59683,54.823624,176,3
14.988867,24.07714,177,2
-12.411712,84.45462,178,2
-31.947544,34.546875,179,3
21.011045,7.5207806,180,0
-11.641535,-90.79133,181,4
-85.20624,-31.61844,182,1
3.85819,-94.35054,183,4
3.5885663,72.238235,184,2
71.71274,-22.503855,185,0
3.0395076,41.04784,186,2
33.853527,-28.147203,187,4
27.763678,-75.289116,188,4
-50.113293,-11.44676,189,1
1.2606311,28.71882,190,3
15.60815,-0.48595762,191,0
24.610847,-73.096245,192,4
-65.71224,38.148685,193,3
11.263382,93.73935,194,2
58.336323,62.788036,195,2
-46.115055,-29.46284,196,1
-17.976175,72.3157,197,2
-7.990998,35.454884,198,3
-48.968502,-16.08149,199,1
78.74369,48.495422,200,0
40.83191,67.64972,201,2
8.053604,14.231382,202,3
-25.4424,38.04677,203,3
64.04948,18.402494,204,0
76.497154,2.8938785,205,0
65.21994,59.05886,206,0
-6.7338743,31.839016,207,3
-39.22534,12.67561,208,3
51.385616,12.450166,209,0
-4.0303345,-93.388275,210,4
88.275345,32.02781,211,0
-55.42259,57.79859,212,3
-34.480366,12.302148,213,3
20.789942,9.176964,214,0
-51.880714,48.1053,215,3
-16.996723,-26.1007,216,1
34.946682,66.50088,217,2
56.029827,-55.613564,218,4
-2.533602,-92.3417,219,4
-16.352896,47.847137,220,3
-47.79868,-82.46632,221,1
-71.33547,59.071556,222,3
-56.471615,-36.941086,223,1
-60.62428,-19.438414,224,1
59.13198,59.25246,225,2
45.624313,-24.758251,226,4
-56.110954,-66.25161,227,1
3.902624,-25.817764,228,4
12.78356,15.942803,229,0
-25.137068,-41.51044,230,1
75.07232,-2.9718115,231,0
56.70871,63.309074,232,2
5.7130566,-44.04138,233,4
1.7386686,8.265744,234,3
-42.23223,41.33453,235,3
-14.612302,67.62068,236,2
-30.084688,-25.944355,237,1
-20.663826,89.64781,238,2
56.589607,66.875114,239,2
-9.171412,-13.392631,240,4
-20.166677,0.60470504,241,3
-22.295147,21.632168,242,3
-56.01522,-66.77625,243,1
-30.723612,10.306735,244,3
-61.8611,-26.594505,245,1
1.0777266,-88.085594,246,4
-25.801565,-88.18621,247,4
25.367102,-74.012505,248,4
7.2983546,-25.15374,249,4
13.832398,-50.537823,250,4
53.990475,32.161057,251,0
72.90726,55.07972,252,0
85.375984,37.30578,253,0
-27.781769,39.961514,254,3
-31.47659,51.001575,255,3
-36.98021,18.386738,256,3
-14.501408,-45.713554,257,4
-11.030687,37.370674,258,3
-75.73316,-22.307749,259,1
10.311959,80.676636,260,2
-17.058569,47.66285,261,3
-14.9765005,-85.24057,262,4
8.860371,13.581586,263,3
71.56657,-27.496834,264,0
-41.718643,-58.91399,265,1
25.515097,-29.474401,266,4
-45.730263,62.951256,267,3
-11.22551,0.12479654,268,3
-9.887982,-3.3187528,269,3
-9.846122,23.593788,270,3
-70.0419,33.86788,271,3
3.512298,-38.34404,272,4
2.6158586,-38.292736,273,4
-32.46467,42.199497,274,3
45.434155,-11.247337,275,0
-2.2214074,81.362785,276,2
54.354656,28.731476,277,0
-57.17681,-6.5093136,278,1
-70.69972,-42.577347,279,1
18.636023,-26.948828,280,4
-36.01442,78.449974,281,3
15.478788,1.406827,282,0
-55.32363,-82.1963,283,1
72.921524,-1.0858775,284,0
38.507244,-6.5552773,285,0
-1.5907197,71.52186,286,2
33.305824,-39.820156,287,4
45.911987,19.35765,288,0
-1.445958,20.38771,289,3
-70.81262,1.4163039,290,1
42.29907,-68.13279,291,4
-11.013104,91.9969,292,2
89.426216,4.546151,293,0
11.886404,72.43952,294,2
7.6024156,43.385727,295,2
-22.74579,22.458057,296,3
7.2148376,18.937603,297,3
37.627075,-10.753683,298,0
-6.6631484,18.062742,299,3
-62.70849,-11.089094,300,1
-13.747164,-53.362556,301,4
64.7734,-20.292753,302,0
13.854441,80.49169,303,2
-31.889702,88.33691,304,2
62.013588,20.567911,305,0
12.274341,0.4430433,306,0
57.21886,63.52279,307,2
47.942272,67.2282,308,2
-7.770885,-48.820023,309,4
59.482426,36.954044,310,0
-42.800735,49.545578,311,3
-67.898026,27.517971,312,3
-56.379677,-41.739994,313,1
84.1262,-31.29181,314,0
-38.55622,-80.315315,315,1
-52.607887,-48.363453,316,1
72.67636,58.29021,317,0
-49.280693,-35.017723,318,1
46.578342,-13.050947,319,0
44.72859,20.989555,320,0
-5.1996436,-93.63441,321,4
-56.492554,24.611437,322,3
4.9676237,20.770796,323,3
-3.699059,18.607052,324,3
-10.577903,93.6385,325,2
77.54762,2.9653533,326,0
22.75705,-22.09475,327,4
-18.498346,-28.063507,328,1
-8.596921,24.314283,329,3
-20.958054,-33.485348,330,1
-1.5200213,4.372722,331,3
65.69898,-44.5422,332,0
18.3491,-68.34013,333,4
27.890486,38.925705,334,2
34.356583,-72.3895,335,4
8.431604,42.89293,336,2
-1.689688,-17.151136,337,4
-33.171505,-64.867455,338,1
31.084818,-44.29101,339,4
85.9617,36.738823,340,0
67.53785,-13.10342,341,0
-1.3366913,-24.634748,342,4
27.200478,-71.89958,343,4
-30.540918,34.259567,344,3
42.09984,65.78891,345,2
26.742058,65.342476,346,2
-77.05946,-4.7508664,347,1
-4.3962126,87.602646,348,2
1.0992271,-38.81903,349,4
-10.0175905,37.65223,350,3
-17.923023,36.50599,351,3
-26.92151,-12.1183815,352,1
7.2936645,-24.325626,353,4
4.0835757,-45.749268,354,4
-1.751187,-42.914467,355,4
68.64711,-44.153156,356,0
34.41276,-72.427055,357,4
32.313293,-46.54346,358,4
-32.560204,87.610535,359,2
-48.49196,-13.029248,360,1
28.50099,2.8060932,361,0
-68.94168,53.06113,362,3
55.697845,21.378983,363,0
-71.50479,59.17312,364,3
-27.987335,-8.893647,365,1
-57.935776,-58.316727,366,1
-18.829351,-18.778511,367,1
33.150894,20.002924,368,0
-50.10966,-34.87118,369,1
40.70073,67.18873,370,2
49.80397,-20.608416,371,4
11.315128,13.089892,372,0
40.044037,69.708275,373,2
-52.557156,-45.926044,374,1
-5.93614,92.89242,375,2
-11.784487,94.43489,376,2
31.79924,6.3902364,377,0
-70.711624,52.43131,378,3
-1.8590261,18.542524,379,3
1.3402287,-39.10666,380,4
-26.960087,-44.85491,381,1
61.28882,-36.95813,382,0
77.52628,15.280696,383,0
69.75053,-14.15555,384,0
-47.426342,-14.90438,385,1
71.17089,59.073242,386,0
-42.129326,-74.11067,387,1
-5.974697,-85.47867,388,4
9.863524,71.46029,389,2
15.780909,9.37452,390,0
-19.93038,-92.54758,391,4
-3.7739074,68.57726,392,2
81.425354,44.7235,393,0
-2.2310042,83.982475,394,2
-2.3513925,19.646317,395,3
59.322987,4.50286,396,0
-32.59931,87.84798,397,2
-1.236285,5.284035,398,3
-86.41888,-36.91443,399,1
79.766075,-11.724053,400,0
54.668674,-12.926791,401,0
34.17083,36.217415,402,0
42.30392,-59.863773,403,4
-23.008356,92.64285,404,2
32.43762,2.4938188,405,0
-87.39903,-33.193264,406,1
-31.576946,25.76714,407,3
16.71985,13.931952,408,0
63.866795,53.944458,409,0
12.396077,-23.476767,410,4
-38.488754,79.08856,411,3
-61.231598,-26.729588,412,1
-31.677917,50.095272,413,3
-41.831726,57.850204,414,3
49.35578,17.75277,415,0
56.66475,4.2386875,416,0
-35.263958,-66.06632,417,1
23.146044,29.678028,418,2
34.333393,-30.544712,419,4
8.931122,42.913483,420,2
86.15228,36.592674,421,0
-62.763565,-11.116151,422,1
84.423645,-28.999088,423,0
89.45488,30.888433,424,0
-70.94961,-44.867584,425,1
-30.19592,83.508026,426,2
-26.622763,29.43809,427,3
-4.8466167,-10.600502,428,4
