customer_id,product_id,ncf_predictions,ncf_predictions1,ncf_predictions2
991,4,0.000482857,0.000726253,0.000380158
342,4,0.000607282,0.000915647,0.000467598
6529,4,0.001820505,0.001226485,0.000769198
5992,4,0.001154035,0.001208901,0.000433564
6751,4,0.00022012,0.000276804,0.000165373
3167,4,0.000793457,0.001190275,0.000804186
539,4,0.001123458,0.001219183,0.001523554
3134,4,0.001611352,0.001387924,0.001266837
5306,4,0.000456184,0.000659853,0.000365883
5271,4,0.001517564,0.000840962,0.000655472
4518,4,0.000865936,0.000990361,0.001020789
4978,4,0.000430256,0.000547946,0.000273764
4155,4,0.003133655,0.002426982,0.003570259
5152,4,0.00050208,0.000810593,0.000797689
3299,4,0.002476931,0.002240658,0.002515197
6576,4,0.002279192,0.003022999,0.00136286
6941,4,0.001119673,0.001668304,0.000855446
7542,4,0.000925869,0.001159787,0.00061661
6639,4,0.001381517,0.001709551,0.00102073
6132,4,0.000776738,0.001362652,0.001429379
1813,4,0.000770539,0.00069198,0.00043723
1884,4,0.001494885,0.001594335,0.003051877
4998,4,0.000701666,0.000833601,0.000415385
3348,4,0.006546974,0.004645199,0.003745079
515,4,0.000928879,0.001680464,0.001906097
2161,4,0.001955837,0.003171295,0.002779841
670,4,0.001890779,0.001366556,0.000890851
2656,4,0.00050053,0.000818074,0.000536412
5927,4,0.00157389,0.001659244,0.000921696
1093,4,0.001024038,0.001421928,0.000937432
6514,4,0.000547707,0.000743419,0.000587434
830,4,0.000669628,0.00094226,0.000414819
5786,4,0.001996785,0.001276493,0.001186073
5874,4,0.001167268,0.001244664,0.001548737
3090,4,0.001622558,0.00135982,0.002002358
5085,4,0.001655936,0.001272231,0.000837386
1439,4,0.001377672,0.00078696,0.000699759
929,4,0.000449866,0.001108915,0.000573546
2058,4,0.001049042,0.001564145,0.001053423
7171,4,0.000816882,0.001045555,0.000605553
7305,4,0.000735819,0.000980139,0.000939548
3359,4,0.001470238,0.001475662,0.001486093
7776,4,0.001162082,0.001997411,0.00270623
