,tsne1,tsne2,customer_id,cluster
0,-1.8817763,-0.15926966,0,3
1,-0.9342438,0.14359444,1,3
2,2.0136645,-2.2239482,2,0
3,0.4368066,1.1690925,3,1
4,0.91394657,-2.0375912,4,0
5,0.95106125,1.2202065,5,2
6,1.1334076,1.3077738,6,2
7,1.0642786,-2.725203,7,0
8,1.8707664,1.2129853,8,2
9,-1.20278,0.07573735,9,3
10,1.8182917,-2.1953504,10,0
11,-1.0195073,0.2577472,11,3
12,1.1706728,0.7199623,12,2
13,0.8209334,-0.5973936,13,2
14,0.2110302,-0.3070471,14,3
15,0.2824996,-1.2967921,15,0
16,0.6398857,-3.5012,16,0
17,3.5493321,-0.26307905,17,2
18,0.89678144,3.5972183,18,1
19,0.26953232,1.338137,19,1
20,-1.511348,-0.8336504,20,3
21,2.3189797,-1.7510694,21,0
22,-2.245583,0.59478897,22,3
23,-0.022251684,0.9154603,23,1
24,3.0805051,0.86738557,24,2
25,1.2882478,-0.966794,25,2
26,0.64944255,-1.9939494,26,0
27,0.27481112,-1.7811087,27,0
28,-0.1559572,-2.3774142,28,0
29,2.2225237,-0.8304905,29,2
30,0.30364913,-0.704212,30,3
31,-1.2212458,-0.14465773,31,3
32,2.5171106,-1.9511563,32,0
33,-0.5595408,-0.6527535,33,3
34,-0.35780644,0.3204992,34,3
35,-0.50348866,-0.566836,35,3
36,0.32017037,3.9783237,36,1
37,0.025853606,1.0982304,37,1
38,-0.24043143,-0.42118007,38,3
39,2.12696,-1.1145732,39,2
40,0.8532412,2.1913974,40,1
41,-1.056772,-1.2171011,41,3
42,-1.3874366,0.23121722,42,3
43,2.9467728,0.29539236,43,2
44,3.5543664,-1.3461015,44,2
45,-1.7386118,0.20593154,45,3
46,-1.539159,-1.7324529,46,3
47,1.688262,0.16258965,47,2
48,1.237276,-0.21685345,48,2
49,2.3986952,-2.450314,49,0
50,2.10297,-2.3540175,50,0
51,0.018842205,-4.3611784,51,0
52,0.14290936,-0.003689026,52,3
53,0.9972288,2.019442,53,1
54,0.6186159,1.0835663,54,2
55,-2.1278687,-2.7803617,55,0
56,-1.6120899,-0.61231583,56,3
57,-0.45207193,-0.5129483,57,3
58,-0.7132765,-0.068655126,58,3
59,-2.3718426,1.4188304,59,1
60,-2.4985867,-0.34494874,60,3
61,1.9133705,0.84833866,61,2
62,1.8625885,-0.37064293,62,2
63,-1.284749,0.24155556,63,3
64,2.8188243,-1.6551812,64,2
65,-0.17331725,1.306969,65,1
66,0.9007364,1.872863,66,1
67,1.3365705,-1.4557368,67,0
68,1.7876977,2.31357,68,2
69,-0.32730845,-0.8429458,69,3
70,-0.54172444,-0.87023365,70,3
71,-1.0892655,1.3026023,71,1
72,-2.3508704,0.6500648,72,3
73,-0.7343562,-0.44325387,73,3
74,1.2381482,-0.7003145,74,2
75,1.2000312,-0.3706329,75,2
76,-2.717842,-0.51203245,76,3
77,0.3238782,0.06936374,77,3
78,-1.2200556,1.2676938,78,1
79,-1.0061121,-1.5844384,79,3
80,-0.1966437,0.124383025,80,3
81,1.1091452,3.399636,81,1
82,2.3056426,2.011226,82,2
83,2.2964106,1.0876063,83,2
84,0.4538737,2.4595761,84,1
85,-0.6701772,-0.73064965,85,3
86,2.6645184,-1.9256927,86,0
87,0.10137187,2.7592185,87,1
88,-0.33505592,-2.5779247,88,0
89,0.31549415,2.3596256,89,1
90,1.1170849,3.5724018,90,1
91,-2.0469422,-2.0673244,91,3
92,0.13185453,-0.14529388,92,3
93,0.46232525,-1.0310451,93,0
94,1.3681371,0.43038136,94,2
95,0.23130849,0.55529374,95,3
96,-1.6461792,0.2701175,96,3
97,-0.37577713,0.7753636,97,3
98,-3.3102276,-1.201353,98,3
99,-3.858455,-1.4914608,99,3
100,1.4003615,2.9492981,100,1
101,2.1943774,-0.51518434,101,2
102,-2.1014676,-0.626532,102,3
103,-2.7617512,-1.2607254,103,3
104,-0.33936894,0.15959312,104,3
105,0.47181642,0.52276427,105,2
106,-0.032493874,0.9829582,106,1
107,3.1878579,2.1690187,107,2
108,3.0835485,0.3938523,108,2
109,-0.50232863,-1.7177603,109,0
110,0.86919767,0.38361248,110,2
111,1.2914972,1.0226882,111,2
112,-0.95767003,0.2079518,112,3
113,-0.32102767,1.42839,113,1
114,3.4320798,-0.8268059,114,2
115,0.7045797,-3.6463559,115,0
116,-0.09769826,0.23352395,116,3
117,2.0949135,1.7398906,117,2
118,-0.99612176,-0.7349768,118,3
119,-0.20294054,-2.8485355,119,0
120,0.94168884,1.890261,120,1
121,0.47875503,0.447996,121,2
122,-0.08815518,0.34377846,122,3
123,2.7974098,-0.4313175,123,2
124,2.209356,-0.09630146,124,2
125,2.1647768,0.12416066,125,2
126,-0.5879237,1.3158003,126,1
127,-0.6314118,-1.3600718,127,3
128,-1.2089807,0.40313655,128,3
129,-2.314951,1.0772287,129,3
130,0.034511138,0.044316016,130,3
131,-0.14280398,-0.5808926,131,3
132,-3.8136847,1.2294701,132,3
133,2.7187157,-0.36732292,133,2
134,-2.2095008,-1.8523058,134,3
135,-2.6948838,-1.9913661,135,3
136,2.7065759,0.96744233,136,2
137,-0.35856447,-0.8044937,137,3
138,0.80708694,-1.0723873,138,0
139,-2.0731435,0.16548525,139,3
140,1.1843101,0.6696151,140,2
141,2.548534,-0.42130518,141,2
142,-0.342798,-0.016960116,142,3
143,-2.8642125,-2.722685,143,3
144,-2.055956,0.22665462,144,3
145,-0.71422184,-0.9281024,145,3
146,0.06352092,-0.12840606,146,3
147,0.7165587,-0.54166377,147,2
148,-2.2513528,-1.5224925,148,3
149,0.42890105,0.2168269,149,2
150,-0.064628825,2.1358333,150,1
151,-1.7899737,-1.6302103,151,3
152,-0.4437985,0.14800383,152,3
153,0.04625449,0.47854242,153,3
154,0.22146437,-0.31510058,154,3
155,-0.1485481,1.0528995,155,1
156,-2.384007,-0.07677466,156,3
157,3.7567747,-1.9029927,157,2
158,0.25435293,0.9955418,158,1
159,-2.9829388,2.410979,159,1
160,1.3952422,1.2979617,160,2
161,-1.9056084,2.7724292,161,1
162,2.4285798,0.09306712,162,2
163,-0.09077435,-3.0451152,163,0
164,-0.9355157,-3.7842753,164,0
165,-0.85786426,-0.8465975,165,3
166,-0.9610929,-3.7684731,166,0
167,1.9762127,-1.246699,167,2
168,-0.7372098,-1.018394,168,3
169,0.0307148,-0.028521094,169,3
170,-1.1147977,2.6845884,170,1
171,-2.6815279,-0.77167237,171,3
172,-3.320468,-2.1787794,172,3
173,0.723119,-3.0614583,173,0
174,3.0661666,0.43471405,174,2
175,2.4776928,0.6569623,175,2
176,0.29878533,-0.026531989,176,3
177,-0.2383847,1.899217,177,1
178,0.8240814,0.040761426,178,2
179,0.5470544,-0.5653115,179,2
180,0.42068338,-0.76473653,180,3
181,0.5795385,0.17374396,181,2
182,-0.7756182,-1.2132933,182,3
183,-0.020889895,-0.056772076,183,3
184,2.0403626,2.3746917,184,2
185,1.9965467,-2.282116,185,0
186,-0.25448665,-0.17848086,186,3
187,-1.178423,-2.0394483,187,0
188,-1.6820253,0.2785723,188,3
189,-0.25749412,-1.5654933,189,0
190,0.3409027,-0.120545514,190,3
191,-0.288623,0.5671882,191,3
192,-1.7889571,-0.21507232,192,3
193,0.46656004,1.5543847,193,1
194,2.7206748,0.8712357,194,2
195,-3.4581087,-2.2277002,195,3
196,-0.9058272,-2.7977943,196,0
197,0.96094996,0.86951834,197,2
198,1.0758375,-1.143863,198,0
199,-1.7272025,-0.6046282,199,3
200,-2.1677284,-3.6354606,200,0
201,3.0014296,-0.8233601,201,2
202,-1.6713371,2.9869409,202,1
203,0.24525398,0.86553556,203,1
204,2.5979168,-1.3006295,204,2
205,-0.4049148,0.1679708,205,3
206,-3.154635,1.6600068,206,1
207,2.1853719,-1.6495908,207,0
208,0.5779789,-0.35867986,208,2
209,-1.9752758,2.8853579,209,1
210,0.48683754,0.08091475,210,2
211,3.7660668,1.8494341,211,2
212,0.36982086,-0.011364444,212,3
213,-0.3398598,2.6341798,213,1
214,0.121903345,-0.15958887,214,3
215,0.26814342,0.7922474,215,1
216,-1.3945237,0.87486255,216,3
217,2.9066653,-0.3967468,217,2
218,-1.2751044,2.847593,218,1
219,0.15559117,-0.033588663,219,3
220,-0.073413864,0.06240784,220,3
221,2.6716251,1.2796018,221,2
222,0.8931465,1.8298092,222,1
223,-2.0092773,0.29524997,223,3
224,-1.5129821,0.8194315,224,3
225,2.3699446,-2.3171406,225,0
226,-3.1549876,-2.0180767,226,3
227,-0.3796534,-2.0385184,227,0
228,0.37630564,-1.5151454,228,0
229,0.05053529,1.6467586,229,1
230,-0.5093847,-0.7135461,230,3
231,-0.52423584,0.12120472,231,3
232,-3.2729719,0.47935185,232,3
233,-2.124451,-2.5529778,233,0
234,0.19480127,-0.0680268,234,3
235,1.0413826,-0.16082212,235,2
236,1.4640739,2.0868487,236,2
237,0.13838951,-2.1533172,237,0
238,1.6095568,0.11916799,238,2
239,3.8512514,-1.0395893,239,2
240,1.1218127,-2.901239,240,0
241,-1.5122021,-0.19325969,241,3
242,0.28391364,0.22136152,242,3
243,2.309446,-0.3952557,243,2
244,-0.1695297,1.6044352,244,1
245,3.6261237,-1.2983415,245,2
246,0.23244996,-0.017442547,246,3
247,0.96597,0.42074516,247,2
248,-0.45239618,-0.5171064,248,3
249,-2.3590488,-0.82034945,249,3
250,-3.376981,0.53735626,250,3
251,-1.4797026,2.2178125,251,1
252,3.3098116,2.2683425,252,2
253,-3.7004104,1.0491412,253,3
254,0.42288324,-0.056771345,254,2
255,0.56049985,-0.78461075,255,3
256,1.4937654,-0.8159238,256,2
257,0.4782079,-2.0439844,257,0
258,0.27709448,1.2689807,258,1
259,2.3059604,2.989383,259,2
260,2.43536,0.1961224,260,2
261,-0.14546128,1.5305262,261,1
262,0.25017378,0.09320835,262,3
263,-2.5624156,1.373859,263,1
264,-1.5635071,2.4075968,264,1
265,-1.6617451,-0.8612392,265,3
266,-0.8356654,-0.43319282,266,3
267,-0.0008435358,1.1374142,267,1
268,-0.46943286,-3.578517,268,0
269,0.73774415,-3.7847323,269,0
270,-0.1331846,0.1993163,270,3
271,0.60968757,0.30799055,271,2
272,3.0164764,-1.9041871,272,2
273,-1.298327,-1.0178734,273,3
274,-0.12214829,0.69338053,274,3
275,-0.4372917,0.23175359,275,3
276,2.3587005,0.872522,276,2
277,-0.6662082,0.9829114,277,1
278,0.25889432,-2.9773698,278,0
279,1.1738291,-2.782787,279,0
280,2.6360273,-2.807682,280,0
281,1.0043339,0.7714825,281,2
282,0.032493684,-0.33204037,282,3
283,0.5437213,-2.2486908,283,0
284,-0.598118,0.4640132,284,3
285,-1.9063832,2.1429262,285,1
286,1.2811031,1.1483608,286,2
287,-1.0576937,1.6795657,287,1
288,-0.16797198,-0.47564775,288,3
289,1.4766569,-1.0642021,289,2
290,-0.3644566,-0.8686716,290,3
291,-1.0833749,-1.4248149,291,3
292,1.0515897,1.4231416,292,2
293,1.0174596,-1.8655319,293,0
294,2.369929,0.5644845,294,2
295,-0.6543966,-0.022373594,295,3
296,0.38998368,0.26781714,296,2
297,0.6325129,-1.018853,297,0
298,0.41408497,-1.0575384,298,0
299,0.05858835,-0.09172491,299,3
300,-1.2807002,-3.398896,300,0
301,-3.0713215,0.18407813,301,3
302,-1.1396246,-1.4556466,302,3
