Value,Row,Column
-1.1663710570404544e-38,0.0,0.0
-1.1846818240737867e-38,0.0,1.0
-1.4508251164688348e-38,0.0,2.0
-1.3655011740148682e-38,0.0,3.0
-1.2796957454085595e-38,0.0,4.0
-1.3328813279727758e-38,0.0,5.0
-1.4049457639677617e-38,0.0,6.0
-1.3819093981231867e-38,0.0,7.0
-1.3652954634003053e-38,0.0,8.0
-1.3941400712496602e-38,0.0,9.0
-1.2106328907241573e-38,0.0,10.0
-1.40163183322948e-38,0.0,11.0
-1.3917298378910215e-38,0.0,12.0
-1.4216873569807432e-38,0.0,13.0
-1.3772863743595327e-38,0.0,14.0
-1.3362333740292872e-38,0.0,15.0
-1.2196268446577333e-38,0.0,16.0
2.055609698998779e-38,0.0,17.0
-1.1333749623606908e-38,0.0,18.0
-1.4545103913001626e-38,0.0,19.0
-1.3772723613748895e-38,0.0,20.0
-1.441289140289258e-38,0.0,21.0
-1.1233329773056462e-38,0.0,22.0
1.1316523461584963e-38,0.0,23.0
1.0851368041546197e-38,0.0,24.0
-1.4475372498819895e-38,0.0,25.0
1.1702480295017018e-38,0.0,26.0
-1.1784987347298e-38,0.0,27.0
-1.384903972941449e-38,0.0,28.0
-1.251139664913009e-38,0.0,29.0
-1.412233917280715e-38,0.0,30.0
-8.126173234872008e-39,0.0,31.0
-9.42129391325647e-40,0.0,32.0
-1.3281917425320663e-38,0.0,33.0
-1.4235608930275454e-38,0.0,34.0
-1.375305779110056e-38,0.0,35.0
-1.1866591963367955e-38,0.0,36.0
-1.3208699580559692e-38,0.0,37.0
-1.3409511255691295e-38,0.0,38.0
1.1349979462420718e-38,0.0,39.0
-1.2882960746035066e-38,0.0,40.0
-1.1017783444572483e-38,0.0,41.0
-1.3648499906184964e-38,0.0,42.0
1.0497621454615111e-38,0.0,43.0
-1.2174496472337118e-38,0.0,44.0
-1.2732905502579772e-38,0.0,45.0
-1.2780444552981991e-38,0.0,46.0
-1.2968924801627537e-38,0.0,47.0
-1.177458691009578e-38,0.0,48.0
-1.390722024035479e-38,0.0,49.0
-1.9573558354846408e-38,0.0,50.0
1.3882910514595684e-38,0.0,51.0
-7.869473573087738e-39,0.0,52.0
-1.3946352901269526e-38,0.0,53.0
1.6950144059531524e-38,0.0,54.0
-1.4255413481471757e-38,0.0,55.0
-1.5018278964151723e-38,0.0,56.0
-1.4513988080601294e-38,0.0,57.0
-1.3987687002071715e-38,0.0,58.0
-1.0803122736717958e-38,0.0,59.0
-1.503758605439319e-39,0.0,60.0
-1.3570691407654864e-38,0.0,61.0
-1.435548581000305e-38,0.0,62.0
-1.1887972975336623e-38,0.0,63.0
1.1565192281870187e-38,1.0,0.0
1.2498339350039512e-38,1.0,1.0
1.4268191922167935e-38,1.0,2.0
1.2176374212279314e-38,1.0,3.0
1.2552041311087832e-38,1.0,4.0
1.2977786613115927e-38,1.0,5.0
1.254519736938807e-38,1.0,6.0
1.4417494668347887e-38,1.0,7.0
1.4505866154702067e-38,1.0,8.0
1.3507606352089425e-38,1.0,9.0
-1.1160167980234064e-38,1.0,10.0
1.2660556462866682e-38,1.0,11.0
1.3684573532552078e-38,1.0,12.0
1.404451105609855e-38,1.0,13.0
-1.1110804439231293e-38,1.0,14.0
-1.095759347163434e-38,1.0,15.0
1.325265831338556e-38,1.0,16.0
-9.779821730547831e-39,1.0,17.0
1.238520972241764e-38,1.0,18.0
1.3747609542671266e-38,1.0,19.0
1.4084386405199377e-38,1.0,20.0
1.3272188210082856e-38,1.0,21.0
1.1820630775036565e-38,1.0,22.0
-1.1244394425730771e-38,1.0,23.0
-1.1083920528193222e-38,1.0,24.0
1.4254969269858566e-38,1.0,25.0
1.2864972277648529e-38,1.0,26.0
1.3168364605562566e-38,1.0,27.0
1.4103877065539671e-38,1.0,28.0
1.236116764466522e-38,1.0,29.0
1.4449767973279752e-38,1.0,30.0
7.879134124700793e-39,1.0,31.0
2.677137275840169e-39,1.0,32.0
1.2691844654978126e-38,1.0,33.0
1.4020607706894098e-38,1.0,34.0
1.4185055686876472e-38,1.0,35.0
1.3540112272566368e-38,1.0,36.0
1.237622459666439e-38,1.0,37.0
1.332784217989198e-38,1.0,38.0
1.3550345955251332e-38,1.0,39.0
1.3252899336721425e-38,1.0,40.0
1.1136495845276225e-38,1.0,41.0
1.348679987249113e-38,1.0,42.0
1.108567915776595e-38,1.0,43.0
1.391715124257146e-38,1.0,44.0
1.4105858501568227e-38,1.0,45.0
1.3201166200015481e-38,1.0,46.0
1.29028465725423e-38,1.0,47.0
1.2107110831784666e-38,1.0,48.0
1.3975743735260274e-38,1.0,49.0
-2.439904452322299e-38,1.0,50.0
1.072069135455405e-38,1.0,51.0
5.60828231911464e-39,1.0,52.0
1.347662224174474e-38,1.0,53.0
1.1787331719628815e-38,1.0,54.0
1.470098155157619e-38,1.0,55.0
1.4990646759733702e-38,1.0,56.0
1.4829357306489916e-38,1.0,57.0
1.4337973783094382e-38,1.0,58.0
-1.3983031888573228e-38,1.0,59.0
3.3431080143865455e-38,1.0,60.0
1.290367894383011e-38,1.0,61.0
1.389491683983802e-38,1.0,62.0
1.364118232560426e-38,1.0,63.0
1.3077102240476484e-38,2.0,0.0
1.2432268127446597e-38,2.0,1.0
1.3271805655602095e-38,2.0,2.0
1.2290842079934615e-38,2.0,3.0
1.3941180708637703e-38,2.0,4.0
1.354035890109609e-38,2.0,5.0
1.2264927867433856e-38,2.0,6.0
1.3216629528569306e-38,2.0,7.0
1.3988541794134953e-38,2.0,8.0
1.410507237312974e-38,2.0,9.0
-1.1532107625127478e-38,2.0,10.0
1.3009280796101627e-38,2.0,11.0
1.3693006546710385e-38,2.0,12.0
1.3528998574445808e-38,2.0,13.0
-1.1928711524291474e-38,2.0,14.0
1.2162582632793429e-38,2.0,15.0
1.3588321143634535e-38,2.0,16.0
-2.426432929405666e-38,2.0,17.0
1.1025315423818229e-38,2.0,18.0
1.3440844289353598e-38,2.0,19.0
1.4838098606310374e-38,2.0,20.0
1.3357674422898992e-38,2.0,21.0
9.767748142979209e-39,2.0,22.0
-1.1496483815567413e-38,2.0,23.0
1.5363498649927392e-38,2.0,24.0
1.4615423872538374e-38,2.0,25.0
1.0798213988197428e-38,2.0,26.0
1.1835946967251635e-38,2.0,27.0
1.329687908902426e-38,2.0,28.0
1.2400219030269024e-38,2.0,29.0
1.3949103650154995e-38,2.0,30.0
8.21973933463344e-39,2.0,31.0
1.5562708640914272e-39,2.0,32.0
