customer_id,product_id,ncf_predictions,ncf_predictions1,ncf_predictions2
1764,17,0.001062274,0.000985891,0.000884503
2901,46,0.000525802,0.000529736,0.000199348
3548,619,5.25E-05,0,0
4556,792,0.00166586,0.00137037,0.000730604
4309,725,0.000316083,0,0
945,839,0.002913088,0.002039105,0.00108549
1391,972,0.000246137,0.000292778,0.000213891
323,40,0.000662476,0.000962466,0.000703394
5174,860,0.001387715,0.000638574,0.000684559
7627,615,0.009538442,0.008374393,0.014889002
4711,771,0.001027286,0,0
1303,619,5.51E-05,0,0
7805,789,0.000308424,0.00067848,0.000323206
405,545,0.000939667,0.000834227,0.000503719
6627,8,0.000264615,0.000739783,0.000296861
3822,809,0.001924604,0.004203051,0.002553552
2405,8,0.000241131,0.000756234,0.000457197
4777,611,0.001550049,0.001145572,0.000588536
4730,482,0.001301289,0.002707809,0.001920432
5412,30,0.000511348,0.000748724,0.000346363
2046,979,0.001173705,0.001378924,0.00125435
5143,919,0.004440397,0.003811985,0.002361238
5980,337,5.52E-05,0.000195265,9.23E-05
2942,993,0.024423212,0.027614892,0.027248383
6214,864,0.006015539,0.004760414,0.003271878
1981,710,0.004193485,0.00101611,0.001051128
5415,24,0.000387132,0.000456333,0.000214159
2272,541,0.001794666,0.001128584,0.000938505
2520,936,0.002430886,0.002987117,0.001704574
1963,5,0.005973697,0.012904793,0.007865042
7472,103,0.00010016,0.000257999,0
4011,636,0.003925771,0.002715588,0.001305908
6076,519,0.011583835,0.014582902,0.009693563
4560,5,0.02003041,0.009686053,0.00826785
2471,17,0.003231376,0.0018498,0.002624214
4401,741,0.000328779,0,0
2527,919,0.004797936,0.005410433,0.003823578
1269,478,0.001464605,0.002159119,0.003212303
162,963,0.000580907,0.00053367,0.000207782
4983,608,0.006203651,0.005399138,0.005795062
4894,627,0.000105293,0.000121708,1.97E-05
6959,753,0.001859397,0.00310126,0.001110226
6008,58,0.000252515,0.000206918,3.79E-05
4024,937,0.000193805,0.000419229,0.00017032
5224,512,0.000530541,0.000626028,0.000363469
242,462,0.000335485,0.001172751,0.000696331
227,623,0.000781149,0.001306504,0.000635594
4938,157,0.006904781,0.011695236,0.013442248
2637,69,0.000273615,0,0
2147,878,0.002052158,0.00320667,0.001801521
602,354,0.001417607,0.000342309,0.000151187
2505,506,0.000176579,0,0
3190,157,0.005780697,0.008551747,0.007650703
3395,337,0.000179023,0.000399292,0.000192881
3079,474,0.001800418,0.001227796,0.000423074
3779,856,0.000377983,0.000351578,0.000165224
5347,532,7.00E-05,0,8.24E-05
3984,946,0.033993036,0.029643595,0.0195342
2027,471,0.003327876,0.00457859,0.001215965
4867,605,0.000530303,0.000820518,0.000661641
6516,525,8.85E-05,0.000185072,0
6455,848,8.79E-05,0.000134379,3.41E-05
2748,319,0.01267916,0.011779249,0.008674115
4173,766,0.004208803,0.006035596,0.003807962
3870,913,0.001406342,0.001015067,0.00066492
6310,611,0.003274113,0.002438933,0.002333581
3703,964,0.000330836,0.000416011,0.000270426
1780,500,0.000748754,0.00104326,0.000537246
4903,234,0.000396073,0.000196189,9.20E-05
7656,815,0.003044009,0.003238082,0.002618939
4504,618,0.006946832,0.007202119,0.002633035
5197,771,0.000213355,0,0
5145,711,3.54E-05,0.000153959,9.31E-05
3706,321,0.000118626,0.000389278,0.000110114
6715,916,0.001572996,0.001841039,0.002277225
2611,606,9.46E-05,0,2.52E-05
5221,947,0.015576452,0.014962345,0.010613859
3755,592,0.000129044,0.000347167,8.79E-05
4137,765,0.000538737,0.00066343,0.000229418
994,593,0.001811922,0.00101459,0.000946939
564,771,0.000662267,0.000473052,0.000260979
6318,790,0.00124222,0.001786947,0.001179546
2726,754,0.005115479,0.012658477,0.02075234
883,763,0.002633691,0.003947139,0.001756221
6195,839,0.001443625,0.001617789,0.001179963
668,66,0.000272512,0.00020203,5.15E-05
2206,983,0.002090544,0.003249317,0.002607763
1076,478,0.002101034,0.003047794,0.001650691
1305,319,0.004144847,0.004706323,0.006291509
991,4,0.000482857,0.000726253,0.000380158
6841,757,0.000668049,0.001696199,0.000790656
2503,844,0.000391155,0,0
7282,790,0.000824302,0.001022875,0.00022772
2694,584,0.000296056,0,5.16E-05
283,963,0.000511825,0.000608742,0.000247955
1175,750,0.003847748,0.006961703,0.005215883
1499,26,0.006570458,0.007062018,0.007945061
2052,510,0.010157377,0.008892983,0.010395229
5660,532,0.000178427,0.000196099,0.000104264
7038,776,0.000153154,0.000204146,7.73E-05
2420,723,0.000145525,0,0
4543,861,0.000625014,0.000469029,0.000275552
7682,545,0.001847953,0.001567572,0.001830578
722,977,0.001579404,0.003330976,0.002420694
7658,541,0.00126785,0.000806689,0.000303924
2604,623,0.005964816,0.005009502,0.006799102
5956,858,0.000133783,0,0
7233,470,0.000165582,0,0
2054,248,0.000368118,0,0.000183582
412,963,0.000446588,0.000724524,0.000522643
1396,757,0.002886385,0.003797382,0.003498882
7531,580,0.000153363,0.000241965,5.25E-05
4531,749,0.004976451,0.008823484,0.005125523
1799,540,0.007042944,0.009903908,0.010391474
7001,914,0.000288904,0.00044626,0.000101482
114,877,0.035014153,0.029643595,0.049269915
1386,2,0.000445247,0.000455827,0.000155211
5140,515,0.003261954,0.002191246,0.002487272
3794,708,0.001602024,0.001948446,0.0008277
2614,469,0.000182927,0.000224143,0.00013274
4035,551,0.000878185,0.000811696,0.000876129
5975,172,0.000144392,0,0
3083,757,0.00287205,0.002603769,0.002508193
2180,709,0.000628471,0.000333488,0.000341862
4810,841,0.000105175,0.000137538,1.94E-05
515,815,0.00203824,0.00376761,0.004693598
4249,237,0.00019601,0.000463784,0.000158012
2470,282,0.001908541,0.001888335,0.00129953
3236,41,3.52E-05,7.92E-05,1.51E-05
7331,554,0.00165087,0.000766337,0.000660807
6621,825,0.00161916,0.001197457,0.000344366
145,464,0.000121996,0,0
75,823,0.008790106,0.009098053,0.015330106
5732,793,0.002329469,0.001636893,0.00216645
7620,271,0.000216156,0,0
4849,2,0.001133591,0.000877589,0.000481844
179,825,0.002073139,0.002465159,0.001783729
5544,23,0.001218379,0,0
6011,878,0.005811662,0.007371813,0.005357772
1151,958,0.003468961,0.002534986,0.001196384
1852,936,0.004338414,0.009321809,0.005974203
4391,905,0.00372836,0.004374325,0.00601095
2802,878,0.008246362,0.006592393,0.006268799
2284,767,0.005527586,0.008941025,0.017883867
2214,844,0.00012316,0,0
2435,680,0.000128478,0.000477254,0.000200003
1154,958,0.002115846,0.003336191,0.002596796
499,812,0.000299752,0.000430107,0.000174046
1238,542,0.000454754,0.000739425,0.000510752
2213,799,0.000583291,0.000330776,0.00037846
2870,853,0.01356253,0.016873926,0.014859825
2472,22,0.00155431,0.001629859,0.001714289
7763,769,0.000357926,0.000507683,0.000270605
3172,878,0.001403034,0.002442151,0.001508653
2191,937,0.000895619,0.000779957,0.000308126
5802,963,0.004904896,0.002651244,0.003634393
5214,516,0.000336111,0.000515193,0.000187308
7740,551,5.59E-05,0.000149369,2.46E-05
516,760,0.000186622,0.000201225,0.000108734
3318,605,0.000412047,0.000403196,0.000116924
2028,106,0.000649065,0.000702083,0.00064683
3182,680,0.000195652,0.000321895,5.94E-05
1409,25,0.000204384,0.000262797,0.000121764
459,839,0.011110395,0.004867464,0.005891681
6007,977,0.005947799,0.009608954,0.009405166
3133,853,0.017145336,0.016872555,0.010993749
5590,799,0.000687987,0.000425994,0.000132114
5163,40,0.000876009,0.000806868,0.000821173
4633,60,8.89E-05,0.000161886,3.71E-05
1492,573,0.03246948,0.029643595,0.051664203
736,789,0.000334501,0.000433773,8.90E-05
898,594,0.001456708,0.002438098,0.001694322
5233,605,0.00030297,0.000548989,0.000184238
4030,918,0.000709951,0.001160383,0.000545889
6458,282,0.000731081,0.001015395,0.000694543
2939,516,0.003124476,0.001711905,0.001661062
2511,709,0.000373572,0,0.000145286
7294,543,0.001315147,0.002803981,0.001512408
5119,25,0.001740247,0.001175761,0.000978291
5091,815,0.002322942,0.002293557,0.001462966
1641,79,0.002612084,0.003798991,0.003659248
2866,35,0.000947684,0.000454366,0.000450015
3114,979,0.004508466,0.003232718,0.002891034
388,17,0.000555187,0.000974804,0.000607461
2265,878,0.00224182,0.003261477,0.001881182
4672,515,0.004835308,0.003885061,0.003775179
101,637,0.001418442,0.000949323,0.000648409
3297,474,0.000737846,0.000712603,0.000381976
3365,472,0.005448729,0.008230954,0.005909145
6114,40,0.001763374,0.000837535,0.000644743
4967,551,0.000159413,0,8.23E-05
4474,557,0.003836393,0.004010171,0.00152126
597,812,0.000505805,0.000413924,0.000204206
4273,298,0.001731098,0.002609611,0.001387894
6161,812,0.000398397,0.000364184,0.000102335
6783,951,0.000629634,0.000528812,0.000113152
7394,18,0.017488271,0.017305225,0.007578999
178,319,0.007670105,0.01240316,0.015664667
3084,834,0.004530549,0.008853048,0.005668849
5633,639,0.000243127,0.000172436,7.29E-05
6334,615,0.002720118,0.003070951,0.002142668
6587,850,0.002011985,0.002535105,0.00213787
401,834,0.002141237,0.001023203,0.000569046
2417,839,0.000383407,0.000691921,0.000193477
155,33,0.001235426,0.001214266,0.001209527
4121,520,0.001504302,0.000610739,0
4614,833,0.002120197,0.003966987,0.002737403
758,710,0.000366211,0.000238299,6.97E-05
7473,838,0.005070746,0.004464269,0.002226472
5598,914,0.000405937,0.000562787,0.000291318
1996,12,0.002213836,0.001279414,0.001160651
6862,792,0.001463592,0.001262069,0.00090903
674,812,0.000497609,0.000481516,0.00014165
5297,819,0.017937124,0.019699156,0.012296498
6695,636,0.002232492,0.001657695,0.000931114
2190,20,0.000591576,0.000656068,0
1255,750,0.007941335,0.008144945,0.006071061
2054,863,0.000466794,0.000512898,0.000256777
4378,529,0.000310332,0.000389487,0.000276715
6941,21,0.005155921,0.00803411,0.002811968
4312,40,0.000216156,0.000408858,0.00025636
7244,512,0.000521541,0.000973016,0.0004417
5544,819,0.04785332,0.029643595,0.017648786
1007,557,0.002251804,0.0026595,0.00224027
287,571,0.001183122,0.001128703,0.000876129
2958,861,0.002005011,0.000682592,0.000658244
512,790,0.004436612,0.003475875,0.002565563
6996,172,0.000553131,0,0
