PC1,PC2,customer_id,cluster
-3904.9999999608553,0.14862241786486458,0,1
-3903.9999999919855,-0.009787270203562843,1,1
-3903.000000005027,-0.01015892744077341,2,1
-3901.999999989149,-0.009425963829275734,3,1
-3900.9999999891597,-0.009618408752397898,4,1
-3899.999999991717,-0.005611487059114878,5,1
-3898.999999990074,-0.009285498825467645,6,1
-3898.0000000044433,-0.009590232118431524,7,1
-3897.00000006708,0.02835201925090055,8,1
-3895.999999990888,-0.007843194714889824,9,1
-3894.9999999888005,-0.00935270966779461,10,1
-3893.999999988133,-0.009172756408136473,11,1
-3892.999999994854,-0.004907458725279735,12,1
-3891.999999985483,-0.008176576753425827,13,1
-3890.9999999911406,-0.006965886748728291,14,1
-3889.9999999889274,-0.00939291857577445,15,1
-3888.99999999049,-0.009817830371774744,16,1
-3888.0000000236705,-0.006760716131939972,17,1
-3886.9999999860147,-0.009448120122526923,18,1
-3885.999999995015,-0.009116504798471984,19,1
-3884.999999986598,-0.009755088556209199,20,1
-3884.000000059137,0.07724176968841687,21,1
-3883.0000000070727,-0.009460038043872956,22,1
-3881.99999999745,0.028854946983317954,23,1
-3880.9999999926663,-0.008825105212973071,24,1
-3880.000000006661,-0.008667844877984965,25,1
-3878.9999999998295,-0.008590520069027295,26,1
-3877.999999997572,-0.009334348717898108,27,1
-3876.99999998948,-0.009354994737808892,28,1
-3875.999999997679,-0.008685645088601417,29,1
-3875.0000000251152,-0.008643742561479588,30,1
-3873.999999996915,-0.008325721670534214,31,1
-3872.999999996741,-0.008218409623243605,32,1
-3871.9999999731835,0.03464587240545871,33,1
-3871.000000015235,-0.007469920043278241,34,1
-3870.0000000062455,-0.00814897880007306,35,1
-3869.0000000327004,-0.0031820361937465727,36,1
-3868.00000002093,-0.006380401930838843,37,1
-3866.9999999731017,0.04472293944697686,38,1
-3865.999999993657,-0.009624622414986145,39,1
-3864.9999999914744,-0.009792631485233015,40,1
-3863.999999990632,0.029335885485886972,41,1
-3862.9999999952915,-0.007162382574764116,42,1
-3861.999999991816,-0.00906847849332308,43,1
-3860.9999999881175,-0.009467598239380183,44,1
-3860.0000000161526,-0.008705489395949177,45,1
-3858.9999999836346,0.00978463817661993,46,1
-3858.000000026198,-0.005306379506136905,47,1
-3856.9999999966744,-0.009735444976398873,48,1
-3856.0000000313794,-0.00712876054525975,49,1
-3855.0000000021573,-0.009449894400370642,50,1
-3854.0000000413747,-0.008060224260914137,51,1
-3852.9999999851584,-0.009393489316951675,52,1
-3852.000000049496,-0.007780112268145444,53,1
-3850.9999999964725,-0.009012964840888605,54,1
-3849.999999988439,-0.009405570920869953,55,1
-3848.999999986867,-0.009594366088184918,56,1
-3847.999999992844,-0.009169750512869565,57,1
-3846.9999999890765,-0.009476144877842766,58,1
-3845.9999999918555,-0.0093101531231495,59,1
-3844.9999999663646,0.06229466767431101,60,1
-3844.0000000229525,-0.005704474140663227,61,1
-3842.9999999802903,0.02635635447773248,62,1
-3842.0000000193545,-0.006897816879272854,63,1
-3840.999999999867,-0.008964191958357537,64,1
-3840.0000000073196,-0.008500337889217582,65,1
-3839.0000000171694,-0.008388942194676232,66,1
-3838.0000000036434,-0.007951860788564465,67,1
-3837.0000000049,-0.008511035551580306,68,1
-3836.00000003271,-0.004294935917550107,69,1
-3834.9999999811453,0.01946242899520535,70,1
-3833.999999989563,-0.009590278056901531,71,1
-3832.9999999955758,-0.00919869593393955,72,1
-3831.9999999959573,-0.009446381251266142,73,1
-3830.9999999968127,-0.00941431037486373,74,1
-3830.0000000119285,-0.005892616943219703,75,1
-3828.9999999864076,-0.009688278904625196,76,1
-3827.999999996706,-0.008781533407058742,77,1
-3826.9999999974298,-0.007604279282624403,78,1
-3825.9999999877737,-0.009577569495331737,79,1
-3825.000000016388,-0.008736185656215393,80,1
-3824.000000032257,-0.006614690971616441,81,1
-3823.0000000230234,-0.00867558305060748,82,1
-3822.000000075361,-0.0055776307043936815,83,1
-3820.9999999919974,-0.009146549484710999,84,1
-3819.9999999969764,0.008482056997804707,85,1
-3819.000000038768,-0.006312291707176683,86,1
-3818.000000019076,-0.006586362271294467,87,1
-3816.99999999201,-0.0085802600521515,88,1
-3815.9999999954816,-0.006633815398324388,89,1
-3814.999999986695,-0.0068538099132114385,90,1
-3813.9999999990655,0.005125066969578345,91,1
-3812.999999991491,-0.009130624644701877,92,1
-3812.0000000060923,-0.007994367589983023,93,1
-3811.000000061665,0.0025077191620928767,94,1
-3809.999999999493,-0.008761572447941906,95,1
-3809.0000000088467,-0.009108798148370015,96,1
-3808.0000000035666,-0.008621142734523779,97,1
-3807.000000123621,0.13383967698533442,98,1
-3805.999999997989,-0.007780234687157015,99,1
-3804.9999999905253,-0.00950897209331892,100,1
-3804.0000000004234,-0.008804840191495956,101,1
-3802.9999999986944,-0.009478548447614086,102,1
-3801.999999987088,-0.009711944533719274,103,1
-3800.9999999970037,-0.009025060705648832,104,1
-3799.9999999888582,-0.007381972469533374,105,1
-3799.000000004328,-0.009844020273296195,106,1
-3797.999999988769,-0.008723425575834777,107,1
-3796.9999999980687,-0.006821394662159041,108,1
-3795.9999999910465,-0.009334745189516045,109,1
