tsne1,tsne2,customer_id,cluster
-4.248098,-71.40436,0,0
41.24327,53.700798,1,1
33.959347,6.2079864,2,4
0.8195279,58.18173,3,1
-87.93984,-24.92931,4,2
20.748955,63.99255,5,1
-51.82937,-68.67136,6,0
53.262012,-14.731474,7,3
-21.328623,34.821175,8,1
22.531998,-64.03625,9,0
36.69655,-48.61564,10,4
30.737156,-43.64897,11,4
0.10847021,11.629919,12,4
-74.49437,10.540893,13,2
0.59792554,-81.51901,14,0
29.936642,51.76612,15,1
-23.04536,-75.34481,16,0
9.903212,38.71929,17,1
-35.143803,70.21379,18,1
-15.71539,47.642826,19,1
-82.30979,-32.219646,20,2
9.403843,8.469987,21,4
-54.546745,-53.388996,22,0
3.0959427,41.47993,23,1
-1.3006313,-34.80678,24,4
-53.222855,47.255836,25,2
-26.887714,-56.294395,26,0
67.79655,18.922848,27,3
-49.36631,-39.40849,28,2
-56.814598,22.78703,29,2
-72.089905,37.65648,30,2
92.55392,-13.5810175,31,3
88.1444,-15.424516,32,3
42.25062,-37.32955,33,4
-19.754156,62.544685,34,1
90.848946,11.222341,35,3
-13.1278,102.09139,36,1
-18.885956,40.10842,37,1
-40.399715,46.320076,38,1
-72.94974,-34.37141,39,2
-24.47389,35.562683,40,1
15.390964,-15.608802,41,4
-9.636213,38.38847,42,1
17.161959,100.52142,43,1
-85.21811,-32.393314,44,2
-50.15334,-41.447792,45,2
31.032244,1.2370766,46,4
24.719688,88.923065,47,1
5.0078382,-75.84709,48,0
-57.076004,-11.404121,49,2
39.91748,-25.409868,50,4
-3.5934858,6.3210306,51,4
-94.33147,-15.51918,52,2
-36.3826,41.307434,53,1
18.4099,-95.440994,54,0
-33.452534,-79.066734,55,0
-46.265728,-47.741535,56,0
56.45186,41.2418,57,3
68.70812,3.7557058,58,3
39.824413,-46.41657,59,4
61.76061,-30.222021,60,3
-20.284855,56.467926,61,1
-97.58576,-16.619144,62,2
-28.025053,-85.91466,63,0
-84.92779,-27.674078,64,2
-33.80365,49.932964,65,1
-54.017315,28.698355,66,2
-40.679394,45.55036,67,1
30.580109,-26.327753,68,4
65.06484,25.32152,69,3
-54.193405,-39.78237,70,2
33.157852,-27.757519,71,4
21.59218,-73.98341,72,0
32.260468,-39.898125,73,4
-12.642765,54.561462,74,1
8.584376,-95.0516,75,0
-83.952995,-35.98671,76,2
-93.159294,-24.055,77,2
27.42998,27.647764,78,1
-5.274231,-70.6606,79,0
-28.51571,55.538918,80,1
-56.57617,28.424711,81,2
21.409992,95.962456,82,1
8.206396,20.404947,83,1
-7.053172,70.03446,84,1
62.677513,31.140512,85,3
15.801073,101.36876,86,1
-64.5308,12.271885,87,2
72.42079,34.912876,88,3
12.409615,39.196354,89,1
-21.205517,71.11614,90,1
30.031096,6.227257,91,4
96.916214,22.306934,92,3
-5.4169354,44.501484,93,1
10.92707,19.606007,94,4
-9.230718,43.417213,95,1
30.390121,51.673893,96,1
-62.984085,55.005775,97,2
24.00063,87.54547,98,1
24.457094,76.36701,99,1
-37.27274,-5.4807963,100,2
-17.285755,-3.4638581,101,4
55.29441,-32.51703,102,4
45.030003,-5.4027905,103,3
68.30486,31.041828,104,3
-31.386322,-9.035036,105,2
-59.918797,-3.8148632,106,2
41.110306,-46.411648,107,4
20.32368,63.054756,108,1
2.8994422,-96.51442,109,0
6.149849,43.103176,110,1
7.2123117,6.017892,111,4
-22.082867,35.812088,112,1
-66.249535,55.624207,113,2
7.720633,21.145576,114,1
43.27129,42.192562,115,3
25.614851,-44.87623,116,4
3.9709072,-79.936356,117,0
-47.365604,-48.02726,118,0
28.323679,-44.587833,119,4
-11.616067,-21.028385,120,4
-75.65937,-43.392204,121,2
-17.920286,-4.725279,122,4
5.8851295,9.426971,123,4
39.906677,-15.506201,124,4
27.229256,92.93352,125,1
67.833694,31.368227,126,3
-93.20971,-23.698406,127,2
57.42998,-15.943883,128,3
95.5511,-9.955796,129,3
-97.71641,-13.026801,130,2
-39.935635,37.83489,131,2
16.012846,58.157955,132,1
7.0435257,103.12639,133,1
42.61712,-45.398335,134,4
-22.868366,-75.58201,135,0
2.5396965,6.6196184,136,4
66.06762,16.953571,137,3
86.761795,-13.3701315,138,3
104.1145,13.557864,139,3
-97.83093,-13.30823,140,2
29.77736,87.28776,141,1
-35.615627,66.18152,142,1
16.84158,73.26747,143,1
-24.631695,-87.552155,144,0
28.820826,-13.667978,145,4
-29.90154,-52.31065,146,0
-83.71599,38.63999,147,2
37.501328,-1.759382,148,4
-63.936146,24.807386,149,2
-69.705124,-6.8439784,150,2
87.34747,-15.502067,151,3
35.271473,-40.192688,152,4
-66.67281,39.23879,153,2
-39.07711,-1.4221512,154,2
-9.849774,-1.0063865,155,4
75.25621,38.253826,156,3
12.179067,19.123693,157,4
2.335191,61.463795,158,1
106.56948,15.17808,159,3
26.604414,-45.13986,160,4
-54.479668,-14.331303,161,2
59.757748,-33.35343,162,4
-43.29116,1.5146186,163,2
29.143473,93.44791,164,1
10.341269,43.918583,165,1
9.220584,100.88013,166,1
4.317077,-95.67838,167,0
-60.63323,-3.0665686,168,2
94.935616,-11.51851,169,3
44.91258,24.396616,170,3
15.466094,-17.789055,171,4
7.447931,100.24476,172,1
-32.43597,58.09935,173,1
17.787535,60.01862,174,1
26.271614,92.53565,175,1
-61.379425,10.535154,176,2
55.01902,-15.743601,177,3
-68.51155,15.171637,178,2
-53.387352,33.593884,179,2
-56.904896,30.409307,180,2
-45.21328,-47.408676,181,0
-24.409552,-58.31634,182,0
-61.60373,-43.986084,183,2
16.379736,73.89642,184,1
19.656988,37.37489,185,1
21.399588,33.419014,186,1
65.53731,28.339733,187,3
0.04423486,56.64259,188,1
58.01323,25.022608,189,3
-29.050808,62.531075,190,1
-19.336454,58.636406,191,1
13.925456,-91.665085,192,0
-38.67367,47.571304,193,1
21.006428,87.62952,194,1
-8.784287,103.26072,195,1
84.898926,0.33991054,196,3
-65.41772,38.09749,197,2
88.25094,19.329235,198,3
4.8350215,-96.28828,199,0
12.855262,101.2592,200,1
19.166815,96.09166,201,1
64.02074,-19.516563,202,3
63.677002,13.698886,203,3
-17.313778,69.95826,204,1
-4.3636117,59.195087,205,1
28.098402,92.772545,206,1
8.903131,42.867584,207,1
-64.748795,22.999554,208,2
70.07294,40.60663,209,3
-67.83911,-45.33308,210,2
-14.482477,101.789314,211,1
-62.138054,1.2984004,212,2
-54.6021,-1.4339893,213,2
-20.20531,41.41689,214,1
-43.7572,0.18161854,215,2
14.018727,-92.50642,216,0
19.782806,93.03596,217,1
36.35589,-25.508665,218,4
-81.11479,-33.284416,219,2
-76.13454,25.186579,220,2
-62.719505,-38.467865,221,2
-38.85089,-1.6498386,222,2
-44.88056,-68.313545,223,0
-76.25471,-30.885872,224,2
13.958572,102.49132,225,1
-38.440945,47.86186,226,1
-37.556793,-53.858505,227,0
-11.112068,60.422695,228,1
1.5364492,34.59867,229,1
42.53756,-45.54323,230,4
38.58876,33.42082,231,3
22.67246,88.8168,232,1
17.259672,-51.477104,233,4
64.031845,10.0392,234,3
-63.119987,35.34313,235,2
-54.1814,-13.988719,236,2
3.9437182,-57.06047,237,0
-63.688797,48.12717,238,2
17.591585,75.07501,239,1
37.555683,-39.34633,240,4
-1.1835742,-100.56225,241,0
33.174454,-6.2244425,242,4
19.739542,-66.18712,243,0
88.15205,22.192114,244,3
-41.776497,-49.42639,245,0
-57.28763,-61.31482,246,0
-54.289543,-58.382076,247,0
52.83464,-31.665813,248,4
-0.29476443,-88.53562,249,0
76.74143,33.24982,250,3
-55.22314,15.966779,251,2
-4.4706545,103.74496,252,1
-5.190004,102.97262,253,1
-46.035263,0.23547839,254,2
-58.937073,21.25311,255,2
-43.625675,53.93234,256,1
-18.191723,32.331024,257,1
-11.205367,60.91854,258,1
-27.987787,-70.81136,259,0
-25.650776,-1.7333229,260,2
19.607622,-51.9175,261,4
76.32163,34.263664,262,3
-57.07838,-17.191072,263,2
58.879494,23.613947,264,3
28.947947,-17.47179,265,4
40.39587,-35.093384,266,4
69.60134,27.571321,267,3
-42.64365,-55.698036,268,0
-10.979545,-78.34494,269,0
104.00581,4.2787905,270,3
-4.6848974,0.5450256,271,4
-2.2020524,61.704906,272,1
-77.436844,25.76318,273,2
38.900185,30.920025,274,3
100.659225,7.344878,275,3
-5.86869,9.104787,276,4
40.917233,53.04853,277,1
-4.002585,-96.93161,278,0
-39.722965,-68.47406,279,0
60.5509,-27.498371,280,3
-54.53078,45.9959,281,2
-63.355167,25.65078,282,2
6.77107,-50.100693,283,0
-48.84466,34.789284,284,2
37.229103,-55.58594,285,4
-45.033634,-15.273825,286,2
100.973305,6.4858837,287,3
84.653206,-0.0136545375,288,3
28.278337,-62.32975,289,0
-6.3940167,-57.814938,290,0
27.48169,23.090914,291,3
-6.6249566,7.765381,292,4
105.00268,15.077429,293,3
-13.807703,-17.602444,294,4
-52.197826,51.896893,295,1
-58.245632,24.816517,296,2
10.018076,38.94074,297,1
103.00352,13.649647,298,3
-29.551975,47.230263,299,1
4.065792,-75.78739,300,0
0.129528,-41.209507,301,4
-20.932901,33.24092,302,1
-34.970234,-11.961504,303,2
3.533357,55.75375,304,1
60.196434,27.92542,305,3
95.49503,-10.371943,306,3
21.59396,100.38551,307,1
-24.925415,-2.1825209,308,2
76.61629,-8.842105,309,3
93.79395,-4.1965275,310,3
-57.32306,-15.225774,311,2
-37.607212,-11.772105,312,2
9.223181,-32.408836,313,4
