Value,Row,Column
6.88607734328619e-39,0.0,0.0
-1.0346187333470921e-38,0.0,1.0
1.3091904156155147e-38,0.0,2.0
-1.4379679227989617e-38,0.0,3.0
-1.2243806095681088e-38,0.0,4.0
-1.1568804829311217e-38,0.0,5.0
-1.249653027372207e-38,0.0,6.0
-1.3162748201317552e-38,0.0,7.0
-1.1804356094671897e-38,0.0,8.0
-1.1216392278518168e-38,0.0,9.0
-1.1064284132812638e-38,0.0,10.0
-1.0580782913278932e-38,0.0,11.0
-6.888793059710051e-39,0.0,12.0
1.3270077854595583e-38,0.0,13.0
-1.202201277864315e-38,0.0,14.0
-1.4085965668568672e-38,0.0,15.0
-1.2298039148847387e-38,0.0,16.0
-8.819373164398066e-39,0.0,17.0
1.2565060775119874e-38,0.0,18.0
1.174824109766801e-38,0.0,19.0
-9.967646171512073e-39,0.0,20.0
1.2426267767422358e-38,0.0,21.0
-1.1660711791690888e-38,0.0,22.0
1.055086939496099e-38,0.0,23.0
-1.2534452212763627e-38,0.0,24.0
-1.1816638475711704e-38,0.0,25.0
-1.1828772319114292e-38,0.0,26.0
1.4793352343747554e-38,0.0,27.0
-1.2319422963412984e-38,0.0,28.0
-1.040784026200582e-38,0.0,29.0
-1.0868119163388736e-38,0.0,30.0
-1.0704448904054061e-38,0.0,31.0
-1.9737632188138808e-38,1.0,0.0
-9.757919435550434e-39,1.0,1.0
1.2261451245943866e-38,1.0,2.0
-1.3578039816801784e-38,1.0,3.0
-1.2037152407251714e-38,1.0,4.0
-1.2568468732985112e-38,1.0,5.0
-1.2622350060236865e-38,1.0,6.0
-1.3761684184446944e-38,1.0,7.0
-1.0854516759195535e-38,1.0,8.0
-1.1250052868929715e-38,1.0,9.0
-1.3740995413919652e-38,1.0,10.0
-9.16097189494192e-39,1.0,11.0
-4.100912567532756e-39,1.0,12.0
-3.040448285309657e-38,1.0,13.0
-1.1494779836634794e-38,1.0,14.0
1.2421763994158018e-38,1.0,15.0
-1.293069597822229e-38,1.0,16.0
-1.0802010105737284e-38,1.0,17.0
-1.1990419103466482e-38,1.0,18.0
-1.2928141411121827e-38,1.0,19.0
-1.1005065259710271e-38,1.0,20.0
-1.2344601494219972e-38,1.0,21.0
-1.1826074819570467e-38,1.0,22.0
-1.27503208398944e-38,1.0,23.0
-1.2886861960959747e-38,1.0,24.0
-1.2531637004148798e-38,1.0,25.0
1.1064003873119773e-38,1.0,26.0
-7.564901351866739e-39,1.0,27.0
1.3130051704249461e-38,1.0,28.0
-1.0228652023477213e-38,1.0,29.0
-1.0173736537958788e-38,1.0,30.0
-1.0159858077968115e-38,1.0,31.0
2.539525843007772e-38,2.0,0.0
-1.2428979279950827e-38,2.0,1.0
1.1414217786622296e-38,2.0,2.0
-1.433165813091567e-38,2.0,3.0
-1.431448521823537e-38,2.0,4.0
-1.3610428028207723e-38,2.0,5.0
-1.3013385199303634e-38,2.0,6.0
-1.4809715305915475e-38,2.0,7.0
-1.369674100711781e-38,2.0,8.0
-1.388387460793914e-38,2.0,9.0
-1.398829096170984e-38,2.0,10.0
-1.133533168957313e-38,2.0,11.0
-1.0025337629288325e-38,2.0,12.0
1.2130033272064092e-38,2.0,13.0
-1.322162375629616e-38,2.0,14.0
9.731268140057441e-39,2.0,15.0
-1.4200073402518641e-38,2.0,16.0
-1.2201528921012408e-38,2.0,17.0
1.276515358413928e-38,2.0,18.0
-1.806954751568351e-38,2.0,19.0
-1.2257526208945292e-38,2.0,20.0
-1.3295428745113683e-38,2.0,21.0
-1.342234995222144e-38,2.0,22.0
-1.2896144161987434e-38,2.0,23.0
-1.416417213586264e-38,2.0,24.0
-1.2813184490302476e-38,2.0,25.0
1.1560891696883174e-38,2.0,26.0
3.0396237612932483e-38,2.0,27.0
1.0826765444408046e-38,2.0,28.0
-1.1709189712064205e-38,2.0,29.0
-1.1712597669929443e-38,2.0,30.0
-1.3673793343466027e-38,2.0,31.0
-8.026710471172697e-39,3.0,0.0
