Value,Row,Column
3.6586655747887725e-39,0.0,0.0
-1.2941932990607712e-38,0.0,1.0
2.023381375747619e-38,0.0,2.0
-3.290193302815483e-38,0.0,3.0
-4.329125232835767e-39,0.0,4.0
2.531182231691489e-38,0.0,5.0
-5.885372274853301e-39,0.0,6.0
-5.3831987532824664e-39,0.0,7.0
2.504247033129623e-38,0.0,8.0
-1.272441923907982e-38,0.0,9.0
-1.0076115080441599e-38,0.0,10.0
9.942941279586026e-39,0.0,11.0
6.380680835247408e-39,0.0,12.0
-1.6813667398195537e-38,0.0,13.0
-1.0531514660571736e-38,0.0,14.0
3.834007249032808e-39,0.0,15.0
-1.264226251141492e-38,1.0,0.0
-1.40385779584006e-38,1.0,1.0
1.2580867421797458e-38,1.0,2.0
-1.4187765798106476e-38,1.0,3.0
-1.3875099676955537e-38,1.0,4.0
-1.344015765310608e-38,1.0,5.0
-1.4288621452479327e-38,1.0,6.0
-1.367791596354807e-38,1.0,7.0
-1.3840371297114175e-38,1.0,8.0
-1.2338228388804223e-38,1.0,9.0
-1.3330880194962637e-38,1.0,10.0
-1.5424106209807905e-38,1.0,11.0
-1.3060882210751924e-38,1.0,12.0
-1.427259059804745e-38,1.0,13.0
-1.3587679348937874e-38,1.0,14.0
-1.4219302020046107e-38,1.0,15.0
1.2037006672211425e-38,2.0,0.0
-1.2434797471174703e-38,2.0,1.0
-1.1066318818182838e-38,2.0,2.0
7.590092494359906e-39,2.0,3.0
1.2460980732980613e-38,2.0,4.0
1.2355569457300242e-38,2.0,5.0
1.411701563994118e-38,2.0,6.0
1.1664097328780697e-38,2.0,7.0
1.2225157615717853e-38,2.0,8.0
1.712423157164999e-38,2.0,9.0
1.2582291141037212e-38,2.0,10.0
7.30958897556215e-39,2.0,11.0
1.1531126716202451e-38,2.0,12.0
1.1478258527740404e-38,2.0,13.0
1.1872518054573585e-38,2.0,14.0
1.363853807540208e-38,2.0,15.0
-1.3534762115029576e-38,3.0,0.0
-1.3138930331319423e-38,3.0,1.0
1.3607411032614032e-38,3.0,2.0
-1.4368608970121451e-38,3.0,3.0
-1.4990465992231804e-38,3.0,4.0
-1.3743426666755256e-38,3.0,5.0
-1.3302820594512997e-38,3.0,6.0
-1.5148885586220653e-38,3.0,7.0
-1.3346312694950246e-38,3.0,8.0
-1.4155439243832967e-38,3.0,9.0
-1.4646101098519373e-38,3.0,10.0
1.444762258533087e-38,3.0,11.0
-1.45802835109485e-38,3.0,12.0
-1.4767484374096118e-38,3.0,13.0
-1.3384947894910146e-38,3.0,14.0
-1.326043131596717e-38,3.0,15.0
-1.3000849183241785e-38,4.0,0.0
-1.3687903017703314e-38,4.0,1.0
-7.646836674374275e-39,4.0,2.0
-1.3156061205045794e-38,4.0,3.0
-1.3215794354684568e-38,4.0,4.0
-1.289818445255149e-38,4.0,5.0
-1.4827684156123512e-38,4.0,6.0
-1.3355784071270617e-38,4.0,7.0
-1.3349524471030478e-38,4.0,8.0
-1.3478886740063088e-38,4.0,9.0
-1.4372190688996266e-38,4.0,10.0
-3.409744520779969e-39,4.0,11.0
-1.4159666961299835e-38,4.0,12.0
-1.3219968822809792e-38,4.0,13.0
-1.35074424001691e-38,4.0,14.0
-1.3196157959303985e-38,4.0,15.0
-1.263163786645841e-38,5.0,0.0
-1.27608123614968e-38,5.0,1.0
-6.410773719768783e-39,5.0,2.0
-1.3085903796130908e-38,5.0,3.0
-1.310338499447336e-38,5.0,4.0
-1.3940537512642578e-38,5.0,5.0
-1.2840690577858708e-38,5.0,6.0
-1.2881970028020789e-38,5.0,7.0
-1.4244734185875138e-38,5.0,8.0
-1.3261304324910445e-38,5.0,9.0
-1.3147162959797332e-38,5.0,10.0
-4.8627438919460505e-40,5.0,11.0
-1.2998343661587572e-38,5.0,12.0
-1.3685045770134555e-38,5.0,13.0
-1.310816061963978e-38,5.0,14.0
-1.4113878132679558e-38,5.0,15.0
-1.346713825373819e-38,6.0,0.0
-1.3696788651265597e-38,6.0,1.0
-1.554326702602023e-38,6.0,2.0
-1.4145146706612502e-38,6.0,3.0
-1.37987695483053e-38,6.0,4.0
-1.4324239656845535e-38,6.0,5.0
-1.427056852436343e-38,6.0,6.0
-1.4731548074978508e-38,6.0,7.0
-1.344497952112182e-38,6.0,8.0
-1.3965299857805662e-38,6.0,9.0
-1.3357228809987336e-38,6.0,10.0
-1.1980580586948457e-38,6.0,11.0
-1.2995001564750157e-38,6.0,12.0
-1.444103508125008e-38,6.0,13.0
-1.4043741743241636e-38,6.0,14.0
-1.3939426282960368e-38,6.0,15.0
-1.3915733128525564e-38,7.0,0.0
-1.435364590511939e-38,7.0,1.0
-1.1942718903740865e-38,7.0,2.0
-1.3989496078389158e-38,7.0,3.0
-1.3575813153541972e-38,7.0,4.0
